Writing /data/openpilot/aeb_boot_watch/xnor_aeb_boot_watch_20251125_181638.jsonl
Writing /data/openpilot/aeb_boot_watch/xnor_aeb_boot_watch_20251125_181638.txt
# xnor AEB boot watch
jsonl: /data/openpilot/aeb_boot_watch/xnor_aeb_boot_watch_20251125_181638.jsonl
duration_s: 240.0
total_can_frames: 35702
unique_src_addr: 546

Top CAN addresses by count:
  src=4 addr=0x102 count=1251 changes=1212 unique=389 last=1a98ffff0100fc1f
  src=6 addr=0x102 count=1251 changes=1212 unique=389 last=1a98ffff0100fc1f
  src=4 addr=0x288 count=631 changes=1 unique=1 last=0000fc7f00
  src=6 addr=0x288 count=631 changes=1 unique=1 last=0000fc7f00
  src=4 addr=0x298 count=631 changes=1 unique=1 last=0000fc7f00
  src=6 addr=0x298 count=631 changes=1 unique=1 last=0000fc7f00
  src=2 addr=0x488 count=596 changes=596 unique=32 last=400003cf
  src=0 addr=0x488 count=596 changes=596 unique=32 last=400003cf
  src=2 addr=0x309 count=399 changes=373 unique=5 last=00ff0ff883ff0700
  src=0 addr=0x309 count=399 changes=373 unique=5 last=00ff0ff883ff0700
  src=2 addr=0x2B9 count=300 changes=300 unique=19 last=0000d8252a9a7af6
  src=0 addr=0x2B9 count=300 changes=300 unique=19 last=0000d8252a9a7af6
  src=4 addr=0x2BF count=300 changes=300 unique=19 last=0000d8252a9a9a16
  src=6 addr=0x2BF count=300 changes=300 unique=19 last=0000d8252a9a9a16
  src=2 addr=0x219 count=300 changes=300 unique=16 last=0b0026
  src=0 addr=0x219 count=300 changes=300 unique=16 last=0b0026
  src=2 addr=0x3FA count=299 changes=299 unique=32 last=004000000000b0ed
  src=0 addr=0x3FA count=299 changes=299 unique=32 last=004000000000b0ed
  src=2 addr=0x27E count=253 changes=6 unique=6 last=000000001b180000
  src=0 addr=0x27E count=253 changes=6 unique=6 last=000000001b180000
  src=2 addr=0x409 count=128 changes=1 unique=1 last=00
  src=0 addr=0x409 count=128 changes=1 unique=1 last=00
  src=4 addr=0x2C8 count=127 changes=127 unique=16 last=2ce803ff2931205a
  src=6 addr=0x2C8 count=127 changes=127 unique=16 last=2ce803ff2931205a
  src=4 addr=0x358 count=126 changes=2 unique=2 last=d808100000503c23
  src=6 addr=0x358 count=126 changes=2 unique=2 last=d808100000503c23
  src=2 addr=0x128 count=126 changes=1 unique=1 last=0300ffff
  src=0 addr=0x128 count=126 changes=1 unique=1 last=0300ffff
  src=4 addr=0x428 count=126 changes=1 unique=1 last=0030
  src=6 addr=0x428 count=126 changes=1 unique=1 last=0030
  src=4 addr=0x3D8 count=126 changes=29 unique=29 last=1c0200
  src=6 addr=0x3D8 count=126 changes=29 unique=29 last=1c0200
  src=2 addr=0x241 count=126 changes=1 unique=1 last=0000000000000000
  src=0 addr=0x241 count=126 changes=1 unique=1 last=0000000000000000
  src=2 addr=0x208 count=126 changes=126 unique=8 last=08ff0011
  src=0 addr=0x208 count=126 changes=126 unique=8 last=08ff0011
  src=2 addr=0x101 count=126 changes=126 unique=15 last=01dadd
  src=0 addr=0x101 count=126 changes=126 unique=15 last=01dadd
  src=2 addr=0x228 count=126 changes=126 unique=16 last=002a
  src=0 addr=0x228 count=126 changes=126 unique=16 last=002a

Top CAN addresses by payload changes:
  src=4 addr=0x102 count=1251 changes=1212 unique=389 last=1a98ffff0100fc1f
  src=6 addr=0x102 count=1251 changes=1212 unique=389 last=1a98ffff0100fc1f
  src=2 addr=0x488 count=596 changes=596 unique=32 last=400003cf
  src=0 addr=0x488 count=596 changes=596 unique=32 last=400003cf
  src=2 addr=0x309 count=399 changes=373 unique=5 last=00ff0ff883ff0700
  src=0 addr=0x309 count=399 changes=373 unique=5 last=00ff0ff883ff0700
  src=2 addr=0x2B9 count=300 changes=300 unique=19 last=0000d8252a9a7af6
  src=0 addr=0x2B9 count=300 changes=300 unique=19 last=0000d8252a9a7af6
  src=4 addr=0x2BF count=300 changes=300 unique=19 last=0000d8252a9a9a16
  src=6 addr=0x2BF count=300 changes=300 unique=19 last=0000d8252a9a9a16
  src=2 addr=0x219 count=300 changes=300 unique=16 last=0b0026
  src=0 addr=0x219 count=300 changes=300 unique=16 last=0b0026
  src=2 addr=0x3FA count=299 changes=299 unique=32 last=004000000000b0ed
  src=0 addr=0x3FA count=299 changes=299 unique=32 last=004000000000b0ed
  src=4 addr=0x2C8 count=127 changes=127 unique=16 last=2ce803ff2931205a
  src=6 addr=0x2C8 count=127 changes=127 unique=16 last=2ce803ff2931205a
  src=2 addr=0x208 count=126 changes=126 unique=8 last=08ff0011
  src=0 addr=0x208 count=126 changes=126 unique=8 last=08ff0011
  src=2 addr=0x101 count=126 changes=126 unique=15 last=01dadd
  src=0 addr=0x101 count=126 changes=126 unique=15 last=01dadd
  src=2 addr=0x228 count=126 changes=126 unique=16 last=002a
  src=0 addr=0x228 count=126 changes=126 unique=16 last=002a
  src=2 addr=0x348 count=126 changes=126 unique=32 last=c018000000000023
